Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2453983.03325 -2.13 1.16 0.1462 -1 124234 4
2453983.03381 -0.46 1.24 0.1484 0.03268 112048 3
2453984.03242 -1.76 1.25 0.1536 0.03239 106855 4
2453984.03297 -0.54 1.23 0.1603 0.03252 108540 4
2453984.03355 -0.3 1.06 0.1551 0.03253 132067 5
2453984.98249 -0.39 1.22 0.1561 0.03242 97508 4
2453984.98306 3.18 1.27 0.153 0.03263 132032 5
2453984.98362 -0.04 1.13 0.1565 0.03254 122303 4
2454023.8489 -1.28 1.31 0.159 0.03243 69353 71
2454023.8615 -1.86 1.29 0.1526 0.03244 72840 11
2454023.86234 0.17 1.35 0.1623 0.03244 70081 62
2454023.86345 -0.77 1.38 0.1642 0.03243 72164 17
2454023.86443 -2.94 1.42 0.1597 0.0324 80193 13
2454083.83812 -0.09 1.23 0.1609 0.03244 77733 6
2454083.83872 -2.07 1.32 0.1589 0.03241 73181 8
2454083.83933 -1.67 1.33 0.1602 0.0324 80813 7
2454083.83991 0.8 1.23 0.1611 0.03243 78623 7
2454083.8405 -0.85 1.32 0.1642 0.03241 86878 7
2454084.79699 -1.27 1.25 0.1583 0.03245 80344 7
2454084.79759 -1.32 1.27 0.167 0.03246 78343 5
2454085.9151 -1.89 1.27 0.1789 0.03239 82979 7
2454085.91583 -0.92 1.21 0.1762 0.03237 72703 11
2454085.91651 3.62 1.33 0.1779 0.03239 73083 13
2454085.91714 0.76 1.41 0.179 0.03241 73819 10
2454085.91778 1.32 1.37 0.1814 0.03239 75502 9
2454129.7101 1.22 1.37 0.1558 0.03244 73587 4
2454129.71066 1.53 1.29 0.1572 0.03255 75237 4
2454129.71123 2.03 1.36 0.159 0.03252 76516 6
2454129.71179 -2.14 1.35 0.1584 0.03247 88690 5
2454129.71236 -0.89 1.3 0.157 0.03251 70102 4
2454130.80487 2.61 1.23 0.1719 0.03248 83100 6
2454130.80545 0.32 1.4 0.1676 0.03245 79343 7
2454130.80607 2.55 1.25 0.169 0.03247 81452 8
2454130.80667 2.9 1.33 0.1665 0.03243 81828 7
2454130.80726 1.19 1.25 0.1739 0.03244 66051 6
2454131.70659 0.31 1.34 0.157 0.0324 72329 10
2454131.70721 1.27 1.46 0.1599 0.03244 78671 10
2454131.70781 0.66 1.49 0.162 0.03242 73924 10
2454138.71241 -1.95 1.22 0.158 0.03251 90162 4
2454343.98648 -0.09 1.3 0.1663 0.03248 77192 0
2454343.98719 -0.01 1.1 0.1649 0.03262 109131 0
2454343.98867 -0.53 1.22 0.167 0.0324 72860 0
2454396.79684 -1.52 1.32 0.1615 0.03247 103270 0
2454396.79742 -1.09 1.25 0.1641 0.03246 103379 0
2454396.79799 -3.73 1.29 0.1641 0.03241 92869 0
2454397.81477 0.81 1.17 0.162 0.0325 105053 0
2454397.81532 -0.84 1.27 0.1625 0.03246 84625 0
2454397.81589 -2.48 1.15 0.1571 0.03245 86940 0
