Time RV eRV 3AP2-1 3AP3-2 6AP2-1 6AP3-2 6AP4-3 6AP5-4 6AP6-5 9AP2-1 9AP3-2 9AP4-3 9AP5-4 9AP6-5 9AP7-6 9AP8-7 9AP9-8 c3AP2-1
57768.842738 2657.33770243112 14.0623699064625 -1289.60857493118 -8837.40077568903 -396.034099270801 18.2945734933 -2015.66477839987 -7848.43042101904 -237.775497622288 -724.240042070929 -45.41332866005 -378.995207795921 487.5290248089 -2651.9451408929 -4815.62504179974 -2963.15062889616 1036.62736555465 0
57768.847901 2689.61975647082 14.6860901544494 -1212.93674351957 -8744.29889105876 -367.99190351502 189.16885843302 -2200.22404343206 -7686.67669924005 -232.125849950794 -1131.31359724635 284.33414378713 -330.37289133183 416.642938481051 -2640.58073512501 -4427.75916346474 -3283.6289798189 1386.2949493604 0
57768.852751 2837.69713720473 16.5464548039326 -1012.1480976359 -8666.73173538346 -546.54095030287 210.08284412313 -1736.0160822522 -7887.41498957073 -70.366597946961 -1092.01752853356 114.62038191664 -199.52208714293 671.302310604051 -2665.25536561601 -4599.49364750539 -3129.7376057319 1527.35958759067 0
57768.857971 2657.4249238988 15.6594277679097 -1149.60685792048 -8718.65609180652 -233.775642171649 30.4803882632186 -1874.69362245286 -7798.87921123476 -306.603028770402 -884.783156327139 109.81333082327 -370.92105602339 538.971077951639 -2449.27987513303 -4583.4254209927 -3245.36202692018 1150.94085206607 0
57768.862775 2896.74027894122 18.0455455692446 -896.563124384251 -8725.26538051706 -671.036905577739 414.046009086049 -1787.86621018695 -7882.3412345409 -215.86924103033 -1043.27441363223 -96.0033555928803 57.3969722024704 553.50129640004 -2486.2709439095 -4373.02942998191 -3563.70657771697 1692.97488157758 0
57768.867949 2941.61107921344 17.8254966741211 -1040.24043317607 -8529.98322944516 -487.280335010981 341.97517387175 -2064.2929057696 -7615.24935387454 -69.356771094559 -979.950977264169 67.9518670056896 -197.044706391551 613.30688747955 -2614.05176326943 -4433.12926749309 -3198.17904194904 1677.43630858173 0
57768.872834 2795.88100770897 15.0037447034623 -1162.04682853192 -8488.16432776902 -444.395503974709 54.3303917001795 -1801.87144184447 -7532.41573325836 -416.663227841637 -932.496642984119 158.497886504949 -414.415188086889 585.88439744793 -2563.72593783687 -4089.03939285898 -3445.76080059577 883.73689850152 0
57768.877591 2593.11022384355 14.4822489329535 -1189.06426734213 -8518.73417087691 -335.21214858299 137.430787404192 -2082.24802437534 -7554.96053954841 -137.185852220497 -698.106197718349 -53.7894356256202 -333.6236491973 611.45544235512 -2697.54556080341 -4573.67152359992 -2929.46062905942 1568.11939895612 0
57768.882904 3261.91206061369 18.59196438299 -1007.6981610522 -8200.83078055778 -374.510645320441 442.6046613856 -2239.85258681465 -7133.65707135364 -272.963890758633 -1068.13480379091 244.11595216891 -64.3618449371006 401.12874011999 -2656.96000913912 -3985.0533671815 -3314.59458210197 1765.92562162671 0
57769.826609 347.567744963333 12.2672068476814 -976.00241890583 -1635.1761654949 -367.77634880468 -219.40509983088 -1010.01690985959 -1010.16065100369 -477.110865143611 -1084.53668582572 220.49348268735 -645.86868921233 421.83680569161 -1062.55457659952 -918.086974370868 -273.489563205671 273.637074891234 0
